Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
5,120,320,22.03,13.47,785.13,69.58
5,120,340,24.6,16.83,812.87,105.49
5,120,360,29.77,14.24,859.27,94.65
5,120,380,23.4,18.28,809.87,82.35
5,120,400,26.27,17.52,795.53,80.04
5,140,0,19.57,11.69,811.93,126.3
5,140,20,29.33,20.72,727.4,85.92
5,140,40,35.2,23.16,812.2,118.55
5,140,60,33.47,15.79,763.4,109.12
5,140,80,38.27,14.75,764.73,134.95
5,140,100,33.87,15.3,816.6,123.35
5,140,120,32.4,14.92,797.8,129.3
5,140,140,37.93,11.13,806.07,112.07
5,140,160,40.07,13.29,826.93,116.59
5,140,180,34.43,10.88,822.87,96.02
5,140,200,43.6,14.7,847.2,138.86
5,140,220,42.13,17.03,766.13,101.65
5,140,240,36.3,13.34,815.6,121.86
5,140,260,40.4,21.31,831.87,95.07
5,140,280,31.7,13.58,830.13,107.88
5,140,300,36.27,17.33,828.47,79.53
5,140,320,33.6,12.86,817.27,95.03
5,140,340,29.23,16.11,858.07,120.35
5,140,360,30.53,12.96,830.67,93.68
5,140,380,24.97,12.69,821.13,123.49
5,140,400,31.0,11.68,862.87,94.3
5,160,0,19.53,12.85,809.6,117.27
5,160,20,25.0,14.44,780.4,95.48
5,160,40,26.7,22.55,775.6,106.25
5,160,60,29.47,12.11,771.47,97.19
5,160,80,30.5,21.99,773.33,80.72
5,160,100,31.03,17.42,779.13,86.12
5,160,120,42.13,14.04,827.73,124.86
5,160,140,37.27,16.33,777.0,91.07
5,160,160,38.1,10.29,767.4,92.61
5,160,180,33.47,18.99,839.53,146.16
5,160,200,40.5,14.53,829.53,69.87
5,160,220,39.27,16.63,828.0,118.27
5,160,240,39.37,17.1,829.13,124.72
5,160,260,32.5,13.18,852.87,144.56
5,160,280,41.8,19.27,854.0,106.39
5,160,300,32.47,19.93,839.27,96.7
5,160,320,26.0,8.06,800.47,81.21
5,160,340,33.23,12.55,849.73,101.61
5,160,360,34.57,15.66,843.87,108.91
5,160,380,33.57,12.23,836.67,92.8
5,160,400,29.17,16.42,901.13,145.04
5,180,0,26.5,14.6,758.6,98.07
5,180,20,28.1,16.64,795.47,81.47
5,180,40,26.37,19.9,792.47,172.68
5,180,60,24.1,11.5,827.6,136.81
5,180,80,31.77,17.63,828.67,122.25
5,180,100,38.8,14.26,789.4,86.9
5,180,120,33.53,11.01,803.4,132.23
5,180,140,36.07,17.26,794.53,146.37
5,180,160,28.53,14.86,790.33,104.31
5,180,180,39.27,18.74,786.73,91.66
5,180,200,34.47,17.58,848.0,128.35
5,180,220,39.83,14.61,889.87,163.84
5,180,240,36.47,13.79,852.4,85.24
5,180,260,38.1,22.07,868.2,108.99
5,180,280,31.83,14.8,789.33,94.19
5,180,300,41.5,10.45,889.2,115.73
5,180,320,40.53,11.8,846.73,130.42
5,180,340,34.73,17.39,848.87,108.45
5,180,360,34.77,15.57,910.0,101.55
5,180,380,39.83,18.25,846.53,95.42
5,180,400,31.87,19.58,848.07,128.1
5,200,0,19.33,11.42,828.93,153.76
5,200,20,23.9,16.7,848.93,202.43
5,200,40,31.7,18.6,843.27,195.23
5,200,60,27.07,16.78,814.27,161.8
5,200,80,26.47,18.51,835.4,137.35
5,200,100,30.9,14.66,851.47,135.04
5,200,120,37.27,18.23,857.47,112.26
5,200,140,28.27,17.81,864.6,149.86
5,200,160,35.97,20.19,848.13,133.63
5,200,180,35.53,16.67,845.47,126.91
5,200,200,28.5,14.87,845.13,139.55
5,200,220,42.0,20.59,884.53,105.26
5,200,240,34.2,17.31,922.8,157.08
5,200,260,37.7,12.35,879.87,102.71
5,200,280,32.17,19.0,873.2,156.3
5,200,300,38.07,15.31,853.2,75.07
